"id","test_id","result_key","result_value"
5243,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_samesite_none_img_external_check","cookie_is_not_set"
5244,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_samesite_none_secure_img_external_check","cookie_is_not_set"
5245,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_samesite_lax_img_external_check","cookie_is_not_set"
5246,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_samesite_strict_img_external_check","cookie_is_not_set"
5247,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_maxage_negative_check","cookie_is_not_set"
5248,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_maxage_zero_check","cookie_is_not_set"
5249,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_maxage_positive_invalid_check","cookie_is_not_set"
5250,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","cookie_maxage_positive_valid_check","cookie_is_set"
5251,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","user_agent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5252,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","timestamp","2020-03-26 13:31:57"
5253,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xcontenttypeoptions_none","test_setup"
5254,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xcontenttypeoptions_nosniff","test_setup"
5255,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xcontenttypeoptions_none_client_check","script_executed"
5256,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","user_agent","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.5 Safari/605.1.15"
5257,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","timestamp","2020-03-26 13:32:04"
5258,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none","test_setup"
5259,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny","test_setup"
5260,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin","test_setup"
5261,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin","test_setup"
5262,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_invalid","test_setup"
5263,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_valid","test_setup"
5264,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_invalid","test_setup"
5265,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_invalid","test_setup"
5266,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none","test_setup"
5267,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin","test_setup"
5268,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny_iframe_client_check","content_not_loaded"
5269,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin","test_setup"
5270,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none","test_setup"
5271,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_iframe_client_check","content_loaded"
5272,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny","test_setup"
5273,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_valid_iframe_client_check","content_loaded"
5274,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny","test_setup"
5275,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin","test_setup"
5276,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin","test_setup"
5277,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_object_client_check","content_loaded"
5278,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_valid","test_setup"
5279,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_valid","test_setup"
5280,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny_object_client_check","content_not_loaded"
5281,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_valid_object_client_check","content_loaded"
5282,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_embed_client_check","resource_loaded"
5283,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_embed_client_check","resource_not_loaded"
5284,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_embed_client_check","resource_loaded"
5285,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_embed_client_check","resource_not_loaded"
5286,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_embed_client_check","resource_not_loaded"
5287,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_none_embed_client_check","resource_loaded"
5288,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_valid_embed_client_check","resource_loaded"
5289,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_allowfrom_valid_iframe_client_check","resource_loaded"
5290,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_invalid_object_client_check","resource_loaded"
5291,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_invalid_object_client_check","resource_not_loaded"
5292,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_invalid_embed_client_check","resource_not_loaded"
5293,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_sameorigin_invalid_iframe_client_check","resource_not_loaded"
5294,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny_embed_client_check","undefined"
5295,"b815ea88-bb5a-4fbb-bbe2-485a6bf122a5","xframeoptions_deny_embed_client_check","resource_not_loaded"
